param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,mean_test_score,std_test_score,rank_test_score
500,30,10,1,sqrt,True,0.8039171332586786,0.04387467433891088,395
500,,10,1,sqrt,True,0.8039171332586786,0.04387467433891088,395
500,20,10,1,sqrt,True,0.8039171332586786,0.04387467433891088,395
500,10,5,2,0.5,True,0.8038784596650329,0.04329230122827659,398
200,5,5,2,0.5,True,0.8038599183693451,0.04350767118664535,399
800,20,2,2,sqrt,False,0.8038386723697979,0.04250330405751337,400
500,10,5,4,log2,True,0.8038242921569708,0.04557636974482118,401
500,10,2,4,log2,True,0.8038242921569708,0.04557636974482118,401
300,10,2,1,sqrt,True,0.8038211958217832,0.04285347489775713,403
800,,2,2,sqrt,False,0.8038040007587858,0.04255806427661169,404
800,30,2,2,sqrt,False,0.8038040007587858,0.04255806427661169,404
